quotation,speaker,cantica,canto
Là dentro si martira Ulisse e Dïomede e così insieme a la vendetta vanno come a l'ira e dentro da la lor fiamma si geme l'agguato del caval che fé la porta onde uscì de' Romani il gentil seme Piangevisi entro l'arte per che morta Deïdamìa ancor si duol d'Achille e del Palladio pena vi si porta,blank,Inferno,26
S'ei posson dentro da quelle faville parlar,blank,Inferno,26
maestro assai ten priego e ripriego che 'l priego vaglia mille che non mi facci de l'attender niego fin che la fiamma cornuta qua vegna vedi che del disio ver' lei mi piego,blank,Inferno,26
La tua preghiera è degna di molta loda e io però l'accetto ma fa che la tua lingua si sostegna Lascia parlare a me ch'i' ho concetto ciò che tu vuoi ch'ei sarebbero schivi perch' e' fuor greci forse del tuo detto,blank,Inferno,26
O voi che siete due dentro ad un foco s'io meritai di voi mentre ch'io vissi s'io meritai di voi assai o poco quando nel mondo li alti versi scrissi non vi movete ma l'un di voi dica dove per lui perduto a morir gissi,blank,Inferno,26
Quando mi diparti' da Circe che sottrasse me più d'un anno là presso a Gaeta prima che sì Enëa la nomasse né dolcezza di figlio né la pieta del vecchio padre né 'l debito amore lo qual dovea Penelopè far lieta vincer potero dentro a me l'ardore ch'i' ebbi a divenir del mondo esperto e de li vizi umani e del valore ma misi me per l'alto mare aperto sol con un legno e con quella compagna picciola da la qual non fui diserto L'un lito e l'altro vidi infin la Spagna fin nel Morrocco e l'isola d'i Sardi e l'altre che quel mare intorno bagna Io e' compagni eravam vecchi e tardi quando venimmo a quella foce stretta dov' Ercule segnò li suoi riguardi acció che l'uom più oltre non si metta da la man destra mi lasciai Sibilia da l'altra già m'avea lasciata Setta 'O frati' dissi 'che per cento milia perigli siete giunti a l'occidente a questa tanto picciola vigilia d'i nostri sensi ch'è del rimanente non vogliate negar l'esperïenza di retro al sol del mondo sanza gente Considerate la vostra semenza fatti non foste a viver come bruti ma per seguir virtute e canoscenza' Li miei compagni fec' io sì aguti con questa orazion picciola al cammino che a pena poscia li avrei ritenuti e volta nostra poppa nel mattino de' remi facemmo ali al folle volo sempre acquistando dal lato mancino Tutte le stelle già de l'altro polo vedea la notte e 'l nostro tanto basso che non surgëa fuor del marin suolo Cinque volte racceso e tante casso lo lume era di sotto da la luna poi che 'ntrati eravam ne l'alto passo quando n'apparve una montagna bruna per la distanza e parvemi alta tanto quanto veduta non avëa alcuna Noi ci allegrammo e tosto tornò in pianto ché de la nova terra un turbo nacque e percosse del legno il primo canto Tre volte il fé girar con tutte l'acque a la quarta levar la poppa in suso e la prora ire in giù com' altrui piacque infin che 'l mar fu sovra noi richiuso,blank,Inferno,26
O tu a cu' io drizzo la voce e che parlavi mo lombardo dicendo 'Istra ten va più non t'adizzo' perch' io sia giunto forse alquanto tardo non t'incresca restare a parlar meco vedi che non incresce a me e ardo Se tu pur mo in questo mondo cieco caduto se' di quella dolce terra latina ond' io mia colpa tutta reco dimmi se Romagnuoli han pace o guerra ch'io fui d'i monti là intra Orbino e 'l giogo di che Tever si diserra,blank,Inferno,27
Parla tu questi è latino,blank,Inferno,27
O anima che se' là giù nascosta Romagna tua non è e non fu mai sanza guerra ne' cuor de' suoi tiranni ma 'n palese nessuna or vi lasciai Ravenna sta come stata è molt' anni l'aguglia da Polenta la si cova sì che Cervia ricuopre co' suoi vanni La terra che fé già la lunga prova e di Franceschi sanguinoso mucchio sotto le branche verdi si ritrova E 'l mastin vecchio e 'l nuovo da Verrucchio che fecer di Montagna il mal governo là dove soglion fan d'i denti succhio Le città di Lamone e di Santerno conduce il lïoncel dal nido bianco che muta parte da la state al verno E quella cu' il Savio bagna il fianco così com' ella sie' tra 'l piano e 'l monte tra tirannia si vive e stato franco Ora chi se' ti priego che ne conte non esser duro più ch'altri sia stato se 'l nome tuo nel mondo tegna fronte,blank,Inferno,27
S'i' credesse che mia risposta fosse a persona che mai tornasse al mondo questa fiamma staria sanza più scosse ma però che già mai di questo fondo non tornò vivo alcun s'i' odo il vero sanza tema d'infamia ti rispondo Io fui uom d'arme e poi fui cordigliero credendomi sì cinto fare ammenda e certo il creder mio venìa intero se non fosse il gran prete a cui mal prenda che mi rimise ne le prime colpe e come e quare voglio che m'intenda Mentre ch'io forma fui d'ossa e di polpe che la madre mi diè l'opere mie non furon leonine ma di volpe Li accorgimenti e le coperte vie io seppi tutte e sì menai lor arte ch'al fine de la terra il suono uscie Quando mi vidi giunto in quella parte di mia etade ove ciascun dovrebbe calar le vele e raccoglier le sarte ciò che pria mi piacëa allor m'increbbe e pentuto e confesso mi rendei ahi miser lasso e giovato sarebbe Lo principe d'i novi Farisei avendo guerra presso a Laterano e non con Saracin né con Giudei ché ciascun suo nimico era cristiano e nessun era stato a vincer Acri né mercatante in terra di Soldano né sommo officio né ordini sacri guardò in sé né in me quel capestro che solea fare i suoi cinti più macri Ma come Costantin chiese Silvestro d'entro Siratti a guerir de la lebbre così mi chiese questi per maestro a guerir de la sua superba febbre domandommi consiglio e io tacetti perché le sue parole parver ebbre E' poi ridisse 'Tuo cuor non sospetti finor t'assolvo e tu m'insegna fare sì come Penestrino in terra getti Lo ciel poss' io serrare e diserrare come tu sai però son due le chiavi che 'l mio antecessor non ebbe care' Allor mi pinser li argomenti gravi là 've 'l tacer mi fu avviso 'l peggio e dissi 'Padre da che tu mi lavi di quel peccato ov' io mo cader deggio lunga promessa con l'attender corto ti farà trïunfar ne l'alto seggio' Francesco venne poi com' io fu' morto per me ma un d'i neri cherubini li disse 'Non portar non mi far torto Venir se ne dee giù tra ' miei meschini perché diede 'l consiglio frodolente dal quale in qua stato li sono a' crini ch'assolver non si può chi non si pente né pentere e volere insieme puossi per la contradizion che nol consente' Oh me dolente come mi riscossi quando mi prese dicendomi 'Forse tu non pensavi ch'io löico fossi' A Minòs mi portò e quelli attorse otto volte la coda al dosso duro e poi che per gran rabbia la si morse disse 'Questi è d'i rei del foco furo' per ch'io là dove vedi son perduto e sì vestito andando mi rancuro,blank,Inferno,27
Or vedi com' io mi dilacco vedi come storpiato è Mäometto Dinanzi a me sen va piangendo Alì fesso nel volto dal mento al ciuffetto E tutti li altri che tu vedi qui seminator di scandalo e di scisma fuor vivi e però son fessi così Un diavolo è qua dietro che n'accisma sì crudelmente al taglio de la spada rimettendo ciascun di questa risma quand' avem volta la dolente strada però che le ferite son richiuse prima ch'altri dinanzi li rivada Ma tu chi se' che 'n su lo scoglio muse forse per indugiar d'ire a la pena ch'è giudicata in su le tue accuse,blank,Inferno,28
Né morte 'l giunse ancor né colpa 'l mena,blank,Inferno,28
a tormentarlo ma per dar lui esperïenza piena a me che morto son convien menarlo per lo 'nferno qua giù di giro in giro e quest' è ver così com' io ti parlo,blank,Inferno,28
Or dì a fra Dolcin dunque che s'armi tu che forse vedra' il sole in breve s'ello non vuol qui tosto seguitarmi sì di vivanda che stretta di neve non rechi la vittoria al Noarese ch'altrimenti acquistar non saria leve,blank,Inferno,28
O tu cui colpa non condanna e cu' io vidi in su terra latina se troppa simiglianza non m'inganna rimembriti di Pier da Medicina se mai torni a veder lo dolce piano che da Vercelli a Marcabò dichina E fa sapere a' due miglior da Fano a messer Guido e anco ad Angiolello che se l'antiveder qui non è vano gittati saran fuor di lor vasello e mazzerati presso a la Cattolica per tradimento d'un tiranno fello Tra l'isola di Cipri e di Maiolica non vide mai sì gran fallo Nettuno non da pirate non da gente argolica Quel traditor che vede pur con l'uno e tien la terra che tale qui meco vorrebbe di vedere esser digiuno farà venirli a parlamento seco poi farà sì ch'al vento di Focara non sarà lor mestier voto né preco,blank,Inferno,28
Dimostrami e dichiara se vuo' ch'i' porti sù di te novella chi è colui da la veduta amara,blank,Inferno,28
Questi è desso e non favella Questi scacciato il dubitar sommerse in Cesare affermando che 'l fornito sempre con danno l'attender sofferse,blank,Inferno,28
Ricordera'ti anche del Mosca che disse lasso 'Capo ha cosa fatta' che fu mal seme per la gente tosca,blank,Inferno,28
E morte di tua schiatta,blank,Inferno,28
Oh me,blank,Inferno,28
Or vedi la pena molesta tu che spirando vai veggendo i morti vedi s'alcuna è grande come questa E perché tu di me novella porti sappi ch'i' son Bertram dal Bornio quelli che diedi al re giovane i ma' conforti Io feci il padre e 'l figlio in sé ribelli Achitofèl non fé più d'Absalone e di Davìd coi malvagi punzelli Perch' io parti' così giunte persone partito porto il mio cerebro lasso dal suo principio ch'è in questo troncone Così s'osserva in me lo contrapasso,blank,Inferno,28
Che pur guate perché la vista tua pur si soffolge là giù tra l'ombre triste smozzicate Tu non hai fatto sì a l'altre bolge pensa se tu annoverar le credi che miglia ventidue la valle volge E già la luna è sotto i nostri piedi lo tempo è poco omai che n'è concesso e altro è da veder che tu non vedi,blank,Inferno,29
Se tu avessi,blank,Inferno,29
atteso a la cagion per ch'io guardava forse m'avresti ancor lo star dimesso,blank,Inferno,29
Dentro a quella cava dov' io tenea or li occhi sì a posta credo ch'un spirto del mio sangue pianga la colpa che là giù cotanto costa,blank,Inferno,29
Non si franga lo tuo pensier da qui innanzi sovr' ello Attendi ad altro ed ei là si rimanga ch'io vidi lui a piè del ponticello mostrarti e minacciar forte col dito e udi' 'l nominar Geri del Bello Tu eri allor sì del tutto impedito sovra colui che già tenne Altaforte che non guardasti in là sì fu partito,blank,Inferno,29
O duca mio la vïolenta morte che non li è vendicata ancor,blank,Inferno,29
per alcun che de l'onta sia consorte fece lui disdegnoso ond' el sen gio sanza parlarmi sì com' ïo estimo e in ciò m'ha el fatto a sé più pio,blank,Inferno,29
O tu che con le dita ti dismaglie,blank,Inferno,29
e che fai d'esse tal volta tanaglie dinne s'alcun Latino è tra costoro che son quinc' entro se l'unghia ti basti etternalmente a cotesto lavoro,blank,Inferno,29
Latin siam noi che tu vedi sì guasti qui ambedue,blank,Inferno,29
ma tu chi se' che di noi dimandasti,blank,Inferno,29
I' son un che discendo con questo vivo giù di balzo in balzo e di mostrar lo 'nferno a lui intendo,blank,Inferno,29
Dì a lor ciò che tu vuoli,blank,Inferno,29
Se la vostra memoria non s'imboli nel primo mondo da l'umane menti ma s'ella viva sotto molti soli ditemi chi voi siete e di che genti la vostra sconcia e fastidiosa pena di palesarvi a me non vi spaventi,blank,Inferno,29
Io fui d'Arezzo e Albero da Siena,blank,Inferno,29
mi fé mettere al foco ma quel per ch'io mori' qui non mi mena Vero è ch'i' dissi lui parlando a gioco 'I' mi saprei levar per l'aere a volo' e quei ch'avea vaghezza e senno poco volle ch'i' li mostrassi l'arte e solo perch' io nol feci Dedalo mi fece ardere a tal che l'avea per figliuolo Ma ne l'ultima bolgia de le diece me per l'alchìmia che nel mondo usai dannò Minòs a cui fallar non lece,blank,Inferno,29
Or fu già mai gente sì vana come la sanese Certo non la francesca sì d'assai,blank,Inferno,29
Tra'mene Stricca che seppe far le temperate spese e Niccolò che la costuma ricca del garofano prima discoverse ne l'orto dove tal seme s'appicca e tra'ne la brigata in che disperse Caccia d'Ascian la vigna e la gran fonda e l'Abbagliato suo senno proferse Ma perché sappi chi sì ti seconda contra i Sanesi aguzza ver' me l'occhio sì che la faccia mia ben ti risponda sì vedrai ch'io son l'ombra di Capocchio che falsai li metalli con l'alchìmia e te dee ricordar se ben t'adocchio com' io fui di natura buona scimia,blank,Inferno,29
Tendiam le reti sì ch'io pigli la leonessa e ' leoncini al varco,blank,Inferno,30
Quel folletto è Gianni Schicchi e va rabbioso altrui così conciando,blank,Inferno,30
Oh,blank,Inferno,30
se l'altro non ti ficchi li denti a dosso non ti sia fatica a dir chi è pria che di qui si spicchi,blank,Inferno,30
Quell' è l'anima antica di Mirra scellerata che divenne al padre fuor del dritto amore amica Questa a peccar con esso così venne falsificando sè in altrui forma come l'altro che là sen va sostenne per guadagnar la donna de la torma falsificare in sè Buoso Donati testando e dando al testamento norma,blank,Inferno,30
O voi che sanz' alcuna pena siete e non so io perché nel mondo gramo,blank,Inferno,30
guardate e attendete a la miseria del maestro Adamo io ebbi vivo assai di quel ch'i' volli e ora lasso un gocciol d'acqua bramo Li ruscelletti che d'i verdi colli del Casentin discendon giuso in Arno faccendo i lor canali freddi e molli sempre mi stanno innanzi e non indarno chè l'imagine lor vie più m'asciuga che 'l male ond' io nel volto mi discarno La rigida giustizia che mi fruga tragge cagion del loco ov' io peccai a metter più li miei sospiri in fuga Ivi è Romena là dov' io falsai la lega suggellata del Batista per ch'io il corpo sù arso lasciai Ma s'io vedessi qui l'anima trista di Guido o d'Alessandro o di lor frate per Fonte Branda non darei la vista Dentro c'è l'una già se l'arrabbiate ombre che vanno intorno dicon vero ma che mi val c'ho le membra legate S'io fossi pur di tanto ancor leggero ch'i' potessi in cent' anni andare un'oncia io sarei messo già per lo sentiero cercando lui tra questa gente sconcia con tutto ch'ella volge undici miglia e men d'un mezzo di traverso non ci ha Io son per lor tra sì fatta famiglia e' m'indussero a batter li fiorini ch'avevan tre carati di mondiglia,blank,Inferno,30
Chi son li due tapini che fumman come man bagnate 'l verno giacendo stretti a' tuoi destri confini,blank,Inferno,30
Qui li trovai e poi volta non dierno rispuose quando piovvi in questo greppo e non credo che dieno in sempiterno L'una è la falsa ch'accusò Gioseppo l'altr' è 'l falso Sinon greco di Troia per febbre aguta gittan tanto leppo,blank,Inferno,30
quando piovvi in questo greppo e non credo che dieno in sempiterno L'una è la falsa ch'accusò Gioseppo l'altr' è 'l falso Sinon greco di Troia per febbre aguta gittan tanto leppo,blank,Inferno,30
Ancor che mi sia tolto lo muover per le membra che son gravi ho io il braccio a tal mestiere sciolto,blank,Inferno,30
Quando tu andavi al fuoco non l'avei tu così presto ma sì e più l'avei quando coniavi,blank,Inferno,30
Tu di' ver di questo ma tu non fosti sì ver testimonio là 've del ver fosti a Troia richesto,blank,Inferno,30
S'io dissi falso e tu falsasti il conio,blank,Inferno,30
e son qui per un fallo e tu per più ch'alcun altro demonio,blank,Inferno,30
Ricorditi spergiuro del cavallo,blank,Inferno,30
e sieti reo che tutto il mondo sallo,blank,Inferno,30
E te sia rea la sete onde ti crepa,blank,Inferno,30
la lingua e l'acqua marcia che 'l ventre innanzi a li occhi sì t'assiepa,blank,Inferno,30
Così si squarcia la bocca tua per tuo mal come suole chè s'i' ho sete e omor mi rinfarcia tu hai l'arsura e 'l capo che ti duole e per leccar lo specchio di Narcisso non vorresti a 'nvitar molte parole,blank,Inferno,30
Or pur mira che per poco che teco non mi risso,blank,Inferno,30
Maggior difetto men vergogna lava,blank,Inferno,30
che 'l tuo non è stato però d'ogne trestizia ti disgrava E fa ragion ch'io ti sia sempre allato se più avvien che fortuna t'accoglia dove sien genti in simigliante piato chè voler ciò udire è bassa voglia,blank,Inferno,30
Maestro dì che terra è questa,blank,Inferno,31
Però che tu trascorri per le tenebre troppo da la lungi avvien che poi nel maginare abborri Tu vedrai ben se tu là ti congiungi quanto 'l senso s'inganna di lontano però alquanto più te stesso pungi,blank,Inferno,31
Pria che noi siam più avanti acciò che 'l fatto men ti paia strano sappi che non son torri ma giganti e son nel pozzo intorno da la ripa da l'umbilico in giuso tutti quanti,blank,Inferno,31
Raphèl maì amècche zabì almi,blank,Inferno,31
Anima sciocca tienti col corno e con quel ti disfoga quand' ira o altra passïon ti tocca Cèrcati al collo e troverai la soga che 'l tien legato o anima confusa e vedi lui che 'l gran petto ti doga,blank,Inferno,31
Elli stessi s'accusa questi è Nembrotto per lo cui mal coto pur un linguaggio nel mondo non s'usa Lasciànlo stare e non parliamo a vòto ché così è a lui ciascun linguaggio come 'l suo ad altrui ch'a nullo è noto,blank,Inferno,31
Questo superbo volle esser esperto di sua potenza contra 'l sommo Giove,blank,Inferno,31
ond' elli ha cotal merto Fïalte ha nome e fece le gran prove quando i giganti fer paura a' dèi le braccia ch'el menò già mai non move,blank,Inferno,31
S'esser puote io vorrei che de lo smisurato Brïareo esperïenza avesser li occhi mei,blank,Inferno,31
Tu vedrai Anteo presso di qui che parla ed è disciolto che ne porrà nel fondo d'ogne reo Quel che tu vuo' veder più là è molto ed è legato e fatto come questo salvo che più feroce par nel volto,blank,Inferno,31
O tu che ne la fortunata valle che fece Scipïon di gloria reda quand' Anibàl co' suoi diede le spalle recasti già mille leon per preda e che se fossi stato a l'alta guerra de' tuoi fratelli ancor par che si creda ch'avrebber vinto i figli de la terra mettine giù e non ten vegna schifo dove Cocito la freddura serra Non ci fare ire a Tizio né a Tifo questi può dar di quel che qui si brama però ti china e non torcer lo grifo Ancor ti può nel mondo render fama ch'el vive e lunga vita ancor aspetta se 'nnanzi tempo grazia a sé nol chiama,blank,Inferno,31
Fatti qua sì ch'io ti prenda,blank,Inferno,31
Guarda come passi va sì che tu non calchi con le piante le teste de' fratei miseri lassi,blank,Inferno,32
Ditemi voi che sì strignete i petti,blank,Inferno,32
chi siete,blank,Inferno,32
Perché cotanto in noi ti specchi Se vuoi saper chi son cotesti due la valle onde Bisenzo si dichina del padre loro Alberto e di lor fue D'un corpo usciro e tutta la Caina potrai cercare e non troverai ombra degna più d'esser fitta in gelatina non quelli a cui fu rotto il petto e l'ombra con esso un colpo per la man d'Artù non Focaccia non questi che m'ingombra col capo sì ch'i' non veggio oltre più e fu nomato Sassol Mascheroni se tosco se' ben sai omai chi fu E perché non mi metti in più sermoni sappi ch'i' fu' il Camiscion de' Pazzi e aspetto Carlin che mi scagioni,blank,Inferno,32
Perché mi peste se tu non vieni a crescer la vendetta di Montaperti perché mi moleste,blank,Inferno,32
Maestro mio or qui m'aspetta sì ch'io esca d'un dubbio per costui poi mi farai quantunque vorrai fretta,blank,Inferno,32
Qual se' tu che così rampogni altrui,blank,Inferno,32
Or tu chi se' che vai per l'Antenora percotendo,blank,Inferno,32
altrui le gote sì che se fossi vivo troppo fora,blank,Inferno,32
Vivo son io e caro esser ti puote,blank,Inferno,32
se dimandi fama ch'io metta il nome tuo tra l'altre note,blank,Inferno,32
Del contrario ho io brama Lèvati quinci e non mi dar più lagna ché mal sai lusingar per questa lama,blank,Inferno,32
El converrà che tu ti nomi o che capel qui sù non ti rimagna,blank,Inferno,32
Perché tu mi dischiomi né ti dirò ch'io sia né mosterrolti se mille fiate in sul capo mi tomi,blank,Inferno,32
Che hai tu Bocca non ti basta sonar con le mascelle se tu non latri qual diavol ti tocca,blank,Inferno,32
Omai,blank,Inferno,32
non vo' che più favelle malvagio traditor ch'a la tua onta io porterò di te vere novelle,blank,Inferno,32
Va via,blank,Inferno,32
e ciò che tu vuoi conta ma non tacer se tu di qua entro eschi di quel ch'ebbe or così la lingua pronta El piange qui l'argento de' Franceschi 'Io vidi' potrai dir 'quel da Duera là dove i peccatori stanno freschi' Se fossi domandato 'Altri chi v'era' tu hai dallato quel di Beccheria di cui segò Fiorenza la gorgiera Gianni de' Soldanier credo che sia più là con Ganellone e Tebaldello ch'aprì Faenza quando si dormia,blank,Inferno,32
O tu che mostri per sì bestial segno odio sovra colui che tu ti mangi dimmi 'l perché,blank,Inferno,32
per tal convegno che se tu a ragion di lui ti piangi sappiendo chi voi siete e la sua pecca nel mondo suso ancora io te ne cangi se quella con ch'io parlo non si secca,blank,Inferno,32
Tu vuo' ch'io rinovelli disperato dolor che 'l cor mi preme già pur pensando pria ch'io ne favelli Ma se le mie parole esser dien seme che frutti infamia al traditor ch'i' rodo parlare e lagrimar vedrai insieme Io non so chi tu se' né per che modo venuto se' qua giù ma fiorentino mi sembri veramente quand' io t'odo Tu dei saper ch'i' fui conte Ugolino e questi è l'arcivescovo Ruggieri or ti dirò perché i son tal vicino Che per l'effetto de' suo' mai pensieri fidandomi di lui io fossi preso e poscia morto dir non è mestieri però quel che non puoi avere inteso cioè come la morte mia fu cruda udirai e saprai s'e' m'ha offeso Breve pertugio dentro da la Muda la qual per me ha 'l titol de la fame e che conviene ancor ch'altrui si chiuda m'avea mostrato per lo suo forame più lune già quand' io feci 'l mal sonno che del futuro mi squarciò 'l velame Questi pareva a me maestro e donno cacciando il lupo e ' lupicini al monte per che i Pisan veder Lucca non ponno Con cagne magre studïose e conte Gualandi con Sismondi e con Lanfranchi s'avea messi dinanzi da la fronte In picciol corso mi parieno stanchi lo padre e ' figli e con l'agute scane mi parea lor veder fender li fianchi Quando fui desto innanzi la dimane pianger senti' fra 'l sonno i miei figliuoli ch'eran con meco e dimandar del pane Ben se' crudel se tu già non ti duoli pensando ciò che 'l mio cor s'annunziava e se non piangi di che pianger suoli Già eran desti e l'ora s'appressava che 'l cibo ne solëa essere addotto e per suo sogno ciascun dubitava e io senti' chiavar l'uscio di sotto a l'orribile torre ond' io guardai nel viso a' mie' figliuoi sanza far motto Io non piangëa sì dentro impetrai piangevan elli e Anselmuccio mio disse 'Tu guardi sì padre che hai' Perciò non lagrimai né rispuos' io tutto quel giorno né la notte appresso infin che l'altro sol nel mondo uscìo Come un poco di raggio si fu messo nel doloroso carcere e io scorsi per quattro visi il mio aspetto stesso ambo le man per lo dolor mi morsi ed ei pensando ch'io 'l fessi per voglia di manicar di sùbito levorsi e disser 'Padre assai ci fia men doglia se tu mangi di noi tu ne vestisti queste misere carni e tu le spoglia' Queta'mi allor per non farli più tristi lo dì e l'altro stemmo tutti muti ahi dura terra perché non t'apristi Poscia che fummo al quarto dì venuti Gaddo mi si gittò disteso a' piedi dicendo 'Padre mio che non m'aiuti' Quivi morì e come tu mi vedi vid' io cascar li tre ad uno ad uno tra 'l quinto dì e 'l sesto ond' io mi diedi già cieco a brancolar sovra ciascuno e due dì li chiamai poi che fur morti Poscia più che 'l dolor poté 'l digiuno,blank,Inferno,33
Maestro mio questo chi move non è qua giù ogne vapore spento,blank,Inferno,33
Avaccio sarai dove di ciò ti farà l'occhio la risposta veggendo la cagion che 'l fiato piove,blank,Inferno,33
O anime crudeli tanto che data v'è l'ultima posta levatemi dal viso i duri veli sì ch'ïo sfoghi 'l duol che 'l cor m'impregna un poco pria che 'l pianto si raggeli,blank,Inferno,33
Se vuo' ch'i' ti sovvegna dimmi chi se' e s'io non ti disbrigo al fondo de la ghiaccia ir mi convegna,blank,Inferno,33
I' son frate Alberigo i' son quel da le frutta del mal orto che qui riprendo dattero per figo,blank,Inferno,33
Oh,blank,Inferno,33
or se' tu ancor morto,blank,Inferno,33
Come 'l mio corpo stea nel mondo sù nulla scïenza porto Cotal vantaggio ha questa Tolomea che spesse volte l'anima ci cade innanzi ch'Atropòs mossa le dea E perché tu più volontier mi rade le 'nvetrïate lagrime dal volto sappie che tosto che l'anima trade com fec' ïo il corpo suo l'è tolto da un demonio che poscia il governa mentre che 'l tempo suo tutto sia vòlto Ella ruina in sì fatta cisterna e forse pare ancor lo corpo suso de l'ombra che di qua dietro mi verna Tu 'l dei saper se tu vien pur mo giuso elli è ser Branca Doria e son più anni poscia passati ch'el fu sì racchiuso,blank,Inferno,33
Io credo,blank,Inferno,33
che tu m'inganni ché Branca Doria non morì unquanche e mangia e bee e dorme e veste panni,blank,Inferno,33
Nel fosso sù,blank,Inferno,33
de' Malebranche là dove bolle la tenace pece non era ancora giunto Michel Zanche che questi lasciò il diavolo in sua vece nel corpo suo ed un suo prossimano che 'l tradimento insieme con lui fece Ma distendi oggimai in qua la mano aprimi li occhi,blank,Inferno,33
Vexilla regis prodeunt inferni verso di noi però dinanzi mira,blank,Inferno,34
se tu 'l discerni,blank,Inferno,34
Ecco Dite,blank,Inferno,34
ed ecco il loco ove convien che di fortezza t'armi,blank,Inferno,34
Quell' anima là sù c'ha maggior pena,blank,Inferno,34
è Giuda Scarïotto che 'l capo ha dentro e fuor le gambe mena De li altri due c'hanno il capo di sotto quel che pende dal nero ceffo è Bruto vedi come si storce e non fa motto e l'altro è Cassio che par sì membruto Ma la notte risurge e oramai è da partir ché tutto avem veduto,blank,Inferno,34
Attienti ben ché per cotali scale,blank,Inferno,34
conviensi dipartir da tanto male,blank,Inferno,34
Lèvati sù,blank,Inferno,34
in piede la via è lunga e 'l cammino è malvagio e già il sole a mezza terza riede,blank,Inferno,34
Prima ch'io de l'abisso mi divella maestro mio,blank,Inferno,34
a trarmi d'erro un poco mi favella ov' è la ghiaccia e questi com' è fitto sì sottosopra e come in sì poc' ora da sera a mane ha fatto il sol tragitto,blank,Inferno,34
Tu imagini ancora d'esser di là dal centro ov' io mi presi al pel del vermo reo che 'l mondo fóra Di là fosti cotanto quant' io scesi quand' io mi volsi tu passasti 'l punto al qual si traggon d'ogne parte i pesi E se' or sotto l'emisperio giunto ch'è contraposto a quel che la gran secca coverchia e sotto 'l cui colmo consunto fu l'uom che nacque e visse sanza pecca tu hai i piedi in su picciola spera che l'altra faccia fa de la Giudecca Qui è da man quando di là è sera e questi che ne fé scala col pelo fitto è ancora si come prim' era Da questa parte cadde giù dal cielo e la terra che pria di qua si sporse per paura di lui fé del mar velo e venne a l'emisperio nostro e forse per fuggir lui lasciò qui loco vòto quella ch'appar di qua e sù ricorse,blank,Inferno,34
Chi siete voi che contro al cieco fiume fuggita avete la pregione etterna,blank,Purgatorio,1
Chi v'ha guidati o che vi fu lucerna uscendo fuor de la profonda notte che sempre nera fa la valle inferna Son le leggi d'abisso così rotte o è mutato in ciel novo consiglio che dannati venite a le mie grotte,blank,Purgatorio,1
Da me non venni donna scese del ciel per li cui prieghi de la mia compagnia costui sovvenni Ma da ch'è tuo voler che più si spieghi di nostra condizion com' ell' è vera esser non puote il mio che a te si nieghi Questi non vide mai l'ultima sera ma per la sua follia le fu sì presso che molto poco tempo a volger era Sì com' io dissi fui mandato ad esso per lui campare e non lì era altra via che questa per la quale i' mi son messo Mostrata ho lui tutta la gente ria e ora intendo mostrar quelli spirti che purgan sé sotto la tua balìa Com' io l'ho tratto saria lungo a dirti de l'alto scende virtù che m'aiuta conducerlo a vederti e a udirti Or ti piaccia gradir la sua venuta libertà va cercando ch'è sì cara come sa chi per lei vita rifiuta Tu 'l sai ché non ti fu per lei amara in Utica la morte ove lasciasti la vesta ch'al gran dì sarà sì chiara Non son li editti etterni per noi guasti ché questi vive e Minòs me non lega ma son del cerchio ove son li occhi casti di Marzia tua che 'n vista ancor ti priega o santo petto che per tua la tegni per lo suo amore adunque a noi ti piega Lasciane andar per li tuoi sette regni grazie riporterò di te a lei se d'esser mentovato là giù degni,blank,Purgatorio,1
Marzïa piacque tanto a li occhi miei mentre ch'i' fu' di là,blank,Purgatorio,1
che quante grazie volse da me fei Or che di là dal mal fiume dimora più muover non mi può per quella legge che fatta fu quando me n'usci' fora Ma se donna del ciel ti move e regge come tu di' non c'è mestier lusinghe bastisi ben che per lei mi richegge Va dunque e fa che tu costui ricinghe d'un giunco schietto e che li lavi 'l viso sì ch'ogne sucidume quindi stinghe ché non si converria l'occhio sorpriso d'alcuna nebbia andar dinanzi al primo ministro ch'è di quei di paradiso Questa isoletta intorno ad imo ad imo là giù colà dove la batte l'onda porta di giunchi sovra 'l molle limo null' altra pianta che facesse fronda o indurasse vi puote aver vita però ch'a le percosse non seconda Poscia non sia di qua vostra reddita lo sol vi mosterrà che surge omai prendere il monte a più lieve salita,blank,Purgatorio,1
Figliuol segui i miei passi volgianci in dietro ché di qua dichina questa pianura a' suoi termini bassi,blank,Purgatorio,1
Fa fa che le ginocchia cali Ecco l'angel di Dio piega le mani omai vedrai di sì fatti officiali Vedi che sdegna li argomenti umani sì che remo non vuol né altro velo che l'ali sue tra liti sì lontani Vedi come l'ha dritte verso 'l cielo trattando l'aere con l'etterne penne che non si mutan come mortal pelo,blank,Purgatorio,2
In exitu Isräel de Aegypto,blank,Purgatorio,2
Se voi sapete mostratene la via di gire al monte,blank,Purgatorio,2
Voi credete forse che siamo esperti d'esto loco ma noi siam peregrin come voi siete Dianzi venimmo innanzi a voi un poco per altra via che fu sì aspra e forte che lo salire omai ne parrà gioco,blank,Purgatorio,2
Così com' io t'amai nel mortal corpo così t'amo sciolta però m'arresto ma tu perché vai,blank,Purgatorio,2
Casella mio per tornar altra volta là dov' io son fo io questo vïaggio,blank,Purgatorio,2
